glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref
D-Fucf2Ac(b1-3)D-6dManHep(b1-3)D-Fucf2Ac,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
D-Rha2Me(?1-?)[Man2Me(?1-?)GlcA2NAc(?1-?)GlcA(?1-?)Glc(?1-?)GlcA2Me(?1-?)]Man,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-Rha4NAc(a1-3)Fuc(a1-4)Glc(b1-3)GalNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaN(a1-3)Fuc(a1-4)Glc(b1-3)GalN(b1-4)[Glc(a1-2)]Glc(a1-2)[GlcN(a1-3)]Gal(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaN(a1-3)Fuc(a1-4)Glc(b1-3)GalN(b1-4)[Glc(a1-2)]Glc(a1-2)[GlcN(a1-3)]Gal(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaN(a1-3)Fuc(a1-4)Glc(b1-3)GalN(b1-4)[Glc(a1-2)]Glc(a1-2)[GlcN(a1-3)]Gal(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaNAc(a1-2)D-RhaNAc(a1-2)D-RhaNAc(a1-2)D-RhaNAc(a1-3)D-RhaNAc(a1-3)D-RhaNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaNAc(a1-2)D-RhaNAc(a1-2)D-RhaNAc(a1-3)D-RhaNAc(a1-2)D-RhaNAc(a1-3)D-RhaNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaNAc(a1-3)D-RhaNAc(a1-3)D-RhaNAc(a1-2)D-RhaNAc(a1-3)D-RhaNAc(a1-2)D-RhaNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaNAc(a1-3)D-RhaNAc(a1-3)D-RhaNAc(a1-3)D-RhaNAc(a1-2)D-RhaNAc(a1-2)D-RhaNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaNAc(a1-3)Fuc(a1-3)Glc(b1-3)GalNAc(a1-2)D-RhaNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://jb.asm.org/content/196/9/1713
D-RhaNAc(a1-3)Fuc(a1-4)Glc(b1-3)GalNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaNAc(a1-3)Fuc(a1-4)Glc(b1-3)GalNAc(a1-2)D-RhaNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
D-RhaNAc(a1-3)Fuc(a1-4)Glc(b1-3)GalNAc(a1-3)D-RhaNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-RhaNAc(a1-3)Fuc(a1-4)Glc(b1-3)GalNAc(b1-4)[Glc(a1-2)]Glc(a1-2)[GlcNAc(a1-3)]Gal(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
DDManHep(a1-6)Glc(a1-2)Glc(a1-3)[Gal(a1-6)]Glc(a1-3)DDManHep,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fru(b2-1)[Gal(a1-6)Glc(a1-6)]Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fru(b2-1)[Gal(a1-6)]Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fruf(b2-3)Fruf(b2-1)Fruf,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://link.springer.com/article/10.1007/s11172-017-1889-2
Fruf(b2-3)L-4dThrHex4en(a1-3)GalNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fruf3Ac(b2-3)Fruf(b2-1)Fruf3Ac,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
Fuc(?1-?)Gal(b1-4)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/25368613/
Fuc(a1-2)Gal(a1-4)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal(b1-3)GalNAc(a1-3)GalNAc(a1-2)Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal(b1-3)GalNAc(a1-3)GalNAc(b1-4)Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal(b1-3)GalNAc(a1-3)GalNAc1PP,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/24557568/
Fuc(a1-2)Gal(b1-3)GalNAc(a1-3)GalNAcOP,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)Gal(a1-3)GalNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal(b1-3)GalNAcOMe,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal(b1-3)GlcNAcOMe,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)Gal(b1-4)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)[Gal(a1-3)]Gal,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/25368613/
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GalNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GalNAc(a1-2)Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GalNAc(a1-4)Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GalNAc(b1-4)Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GalNAc1EtN,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/27263095/
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GalNAc1PP,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/24557568/
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GalNAcOP,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-2)[Gal(a1-3)]Gal(b1-3)GalNAc(a1-3)GlcNAc(b1-4)Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/23848592/
Fuc(a1-3)GalNAc(a1-6)Man(a1-3)Fuc(a1-3)GalNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-3)GalNAc(a1-6)Man(a1-3)Fuc(a1-3)GalNAc1EtN,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/27308211/
Fuc(a1-3)GalNAc(b1-4)GalNAcGro,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-3)Glc(b1-3)[Gal4Pyr6Pyr(b1-4)GlcA(b1-3)Gal(b1-4)]Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-3)Glc(b1-3)[GalOPyr(b1-4)GlcA(b1-3)Gal(b1-4)]Fuc(b1-4)Fuc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-3)GlcNAc(a1-4)GlcA(a1-3)Fuc(a1-3)GlcNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-3)GlcNAc(b1-4)GlcNAc(b1-3)Ery-onic,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc(b1-2)Gal(a1-3)GlcNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
"Fuc(b1-2)[Man(b1-3)]Gal(a1-3)2,5-Anhydro-Man-ol",Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Fuc2Ac(a1-2)Gal(b1-3)GalNAc(a1-3)GalNAc(b1-4)Fuc2Ac,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
Fuc3Ac(a1-2)Gal(b1-3)GalNAc(a1-3)GalNAc(b1-4)Fuc3Ac,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
Fuc3Ac4Ac(a1-2)Gal(b1-3)GalNAc(a1-3)GalNAc(a1-2)Fuc3Ac4Ac,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
FucN(a1-3)GlcNAc(b1-6)Gal,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://iopscience.iop.org/article/10.1070/RCR4856
FucN(a1-3)[Glc(b1-4)]GlcNAc(b1-6)Gal,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://iopscience.iop.org/article/10.1070/RCR4856
FucNAc(a1-3)GlcNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/27293097/
FucNAc(a1-3)GlcNAc(a1-4)8eLeg5Ac7Ac(a2-6)Gal(a1-3)FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://iopscience.iop.org/article/10.1070/RCR4856
FucNAc(a1-3)GlcNAc(a1-4)8eLeg5Ac7AcGro,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
FucNAc(a1-3)GlcNAc(b1-4)[Rha(a1-3)][Glc(b1-6)]Glc(a1-3)FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
FucNAc(a1-3)[Glc(a1-6)]GlcNAc(a1-2)Galf(b1-6)Glc(a1-3)FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
FucNAc(a1-3)[Glc(a1-6)]GlcNAc(a1-2)Rha(a1-6)Glc(a1-3)FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
FucNAc(a1-3)[Glc(a1-6)]GlcNAc(b1-2)Galf(b1-6)Glc(a1-3)FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
FucNAc(a1-3)[Glc(a1-6)]GlcNAc(b1-2)Rha(a1-6)Glc(a1-3)FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
FucNAc(a1-4)Glc1P6Ac(a1-4)Glc(a1-3)FucNAc(a1-3)GlcNAc(a1-3)FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
Gal(?1-?)[Gal(a1-2)Ribf(b1-4)]Gal(a1-2)Ribf,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)Glc(a1-3)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)Glc(a1-3)Glc(a1-3)LDManHep,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)Glc(a1-3)Glc(a1-3)LDManHep(a1-3)LDManHep,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Gal(a1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/29546786/
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)LDManHep,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHep(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHep4P(a1-3)LDManHep4P(a1-5)[Kdo(a2-4)]Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/23643833/
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Gal(b1-4)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOPPEtN(a1-3)LDManHepOPPEtN(a1-5)Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(a1-3)]Glc(a1-3)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)LDManHep,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[KdoOPEtN(a2-4)]Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOPPEtN(a1-5)[Kdo(a2-4)]Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[GlcN(a1-7)LDManHep(a1-7)]LDManHepOPPEtN(a1-3)LDManHepOP(a1-5)[KdoOPEtN(a2-4)]Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHep(a1-3)LDManHep,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)Kdo,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Gal(a1-2)Gal(a1-2)[Glc(b1-3)]Glc(a1-3)Glc(a1-3)[LDManHep(a1-7)]LDManHepOP(a1-3)LDManHepOP(a1-5)[Kdo(a2-4)]Kdo(a2-6)GlcN4P(b1-6)GlcN1P,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
